,count,frequency,english_freq,difference
W,64,12.19047619047619,2.36,9.83047619047619
Q,57,10.857142857142858,0.1,10.757142857142858
N,51,9.714285714285714,6.75,2.9642857142857135
O,40,7.6190476190476195,7.51,0.10904761904761973
B,39,7.428571428571429,1.29,6.138571428571429
E,32,6.095238095238095,12.7,-6.604761904761904
J,28,5.333333333333334,0.15,5.183333333333334
X,24,4.571428571428571,0.15,4.421428571428571
Y,24,4.571428571428571,1.97,2.6014285714285714
C,21,4.0,2.78,1.2200000000000002
P,18,3.428571428571429,1.93,1.4985714285714289
A,17,3.2380952380952377,8.17,-4.931904761904763
H,17,3.2380952380952377,6.09,-2.851904761904762
K,15,2.857142857142857,0.77,2.087142857142857
G,13,2.4761904761904763,2.02,0.45619047619047626
L,12,2.2857142857142856,4.03,-1.7442857142857147
S,12,2.2857142857142856,6.33,-4.0442857142857145
M,11,2.0952380952380953,2.41,-0.3147619047619048
D,9,1.7142857142857144,4.25,-2.5357142857142856
F,7,1.3333333333333335,2.23,-0.8966666666666665
I,6,1.1428571428571428,6.97,-5.8271428571428565
R,5,0.9523809523809524,5.99,-5.037619047619048
T,2,0.38095238095238093,9.06,-8.67904761904762
V,1,0.19047619047619047,0.98,-0.7895238095238095
U,0,0.0,2.76,-2.76
Z,0,0.0,0.07,-0.07
